select|Select|CAD|CSC|Stock #|OD (in)|ID (in)|Free Length(in)|Rate (lbs/in)|Sugg. Max Defl (in)|Sugg. Max Load (lbs)|Solid Length (in)|Wire Dia. (in)|Total Coils|Material|Ends|Finish|
||80048S|0.094|0.440|3.100|0.100|0.250|0.860|0.013|Stainless|None|
||80035|0.094|0.500|1.200|0.070|0.600|0.810|0.011|Music Wire|None|
||80049S|0.094|0.500|2.600|0.100|0.290|0.860|0.013|Stainless|None|
||80036|0.094|0.630|0.920|0.070|0.810|0.810|0.011|Music Wire|None|
||80050S|0.094|0.630|1.900|0.100|0.400|0.860|0.013|Stainless|None|
||80037|0.094|0.750|0.720|0.070|1.000|0.810|0.011|Music Wire|None|
||80051S|0.094|0.750|1.500|0.100|0.510|0.860|0.013|Stainless|None|
||80038|0.094|0.880|0.600|0.070|1.200|0.810|0.011|Music Wire|None|
||80052S|0.094|0.880|1.200|0.100|0.620|0.860|0.013|Stainless|None|
||80039|0.094|1.000|0.510|0.070|1.500|0.810|0.011|Music Wire|None|
||80053S|0.094|1.000|1.000|0.100|0.720|0.860|0.013|Stainless|None|
||80068S|0.120|0.500|1.700|0.100|0.440|0.860|0.014|Stainless|None|
||80069S|0.120|0.630|1.300|0.090|0.590|0.850|0.014|Stainless|None|
||80070S|0.120|0.750|0.970|0.090|0.780|0.850|0.014|Stainless|None|
||80071S|0.120|0.810|0.820|0.100|0.910|0.860|0.014|Stainless|None|
||80072S|0.120|0.880|0.800|0.090|0.940|0.850|0.014|Stainless|None|
||80073S|0.120|1.000|0.660|0.090|1.100|0.850|0.014|Stainless|None|
||80074S|0.120|1.130|0.570|0.090|1.300|0.850|0.014|Stainless|None|
||80075S|0.120|1.250|0.500|0.090|1.500|0.850|0.014|Stainless|None|
||80076S|0.120|1.380|0.470|0.090|1.600|0.850|0.014|Stainless|None|
||80077S|0.120|1.500|0.410|0.090|1.900|0.850|0.014|Stainless|None|
||M-60|0.125|0.340|1.200|0.060|0.600|0.800|0.012|Music Wire|None|
||O-25|0.125|0.380|1.500|0.060|0.500|0.800|0.012|Music Wire|Zinc|
||B-77|0.125|0.410|1.100|0.060|0.640|0.800|0.012|Music Wire|None|
||199-B|0.125|1.500|0.190|0.060|3.800|0.800|0.012|Music Wire|Zinc|
||5400|0.125|1.560|0.200|0.060|3.600|0.800|0.012|Music Wire|None|
||B3-15|0.125|1.630|0.160|0.060|4.600|0.800|0.012|Music Wire|None|
CALL||O-22|0.125|2.250|0.120|0.060|6.300|0.800|0.012|Music Wire|Zinc|
||ZZ2-12|0.156|0.380|1.200|0.050|0.650|0.820|0.013|Music Wire|Zinc|
||419|0.156|0.590|0.550|0.060|1.400|0.820|0.013|Music Wire|Zinc|
||5155|0.156|1.060|0.230|0.050|3.300|0.820|0.013|Music Wire|Zinc|
||5375|0.156|1.380|0.180|0.050|4.200|0.820|0.013|Music Wire|None|
||ZZ2-9|0.172|0.440|1.800|0.100|0.410|0.850|0.016|Stainless|None|
||ZZ1-16|0.172|1.310|0.360|0.100|2.100|0.850|0.016|Stainless|None|
||A-46|0.188|0.530|0.780|0.050|1.000|0.840|0.014|Music Wire|None|
||ZZ1-45|0.188|0.630|0.680|0.050|1.200|0.840|0.014|Music Wire|None|
||ZZ3-13|0.188|0.750|0.610|0.080|1.200|0.780|0.016|Stainless|None|
||ZZ2-45|0.188|0.940|0.210|0.050|3.800|0.840|0.014|Music Wire|Zinc|
||453|0.188|1.190|0.180|0.050|4.500|0.840|0.014|Music Wire|Zinc|
||5395|0.219|0.690|0.410|0.050|1.800|0.810|0.015|Music Wire|None|
||174-A|0.281|1.500|0.070|0.040|10.000|0.770|0.016|Music Wire|Zinc|
||174-B|0.281|1.880|0.060|0.040|13.000|0.770|0.016|Music Wire|Zinc|
||174-C|0.281|2.500|0.040|0.040|19.000|0.770|0.016|Music Wire|Zinc|
||ZZ1-10|0.078|1.940|0.600|0.200|1.200|0.880|0.012|Stainless|None|
||454|0.109|0.410|2.400|0.100|0.370|0.990|0.014|Phosphor Bronze|None|
||5183|0.109|1.250|0.370|0.090|2.200|0.920|0.012|Music Wire|None|
||5392|0.125|0.470|3.200|0.200|0.260|0.990|0.015|Stainless|None|
||S-503|0.125|0.750|1.400|0.200|0.590|0.990|0.015|Stainless|None|
||S-508|0.125|1.250|0.670|0.200|1.300|0.990|0.015|Stainless|None|
||S-512|0.125|1.750|0.500|0.200|1.700|0.990|0.015|Stainless|None|
||ZZ2-20|0.140|0.380|1.700|0.070|0.490|0.900|0.013|Music Wire|Zinc|
||B3-23|0.140|0.410|1.000|0.070|0.820|0.900|0.013|Music Wire|None|
||O-30|0.140|0.440|1.000|0.070|0.810|0.900|0.013|Music Wire|None|
||N-103|0.172|0.560|0.720|0.060|1.200|0.920|0.014|Music Wire|None|
||485|0.172|0.810|0.390|0.060|2.200|0.920|0.014|Music Wire|Zinc|
||ZZ2-58|0.172|0.970|0.290|0.060|3.000|0.920|0.014|Music Wire|None|
||80127|0.180|0.630|0.600|0.070|1.400|0.900|0.014|Music Wire|None|
||80128|0.180|0.750|0.400|0.070|2.100|0.900|0.014|Music Wire|None|
||80129|0.180|1.000|0.300|0.070|2.800|0.900|0.014|Music Wire|None|
||80130|0.180|1.250|0.200|0.070|4.100|0.900|0.014|Music Wire|None|
||80131|0.180|1.500|0.100|0.070|8.300|0.900|0.014|Music Wire|None|
||O-159|0.188|0.380|1.400|0.070|0.620|0.940|0.015|Music Wire|None|
||5700|0.188|0.530|0.890|0.070|0.980|0.950|0.015|Music Wire|Zinc|
||ZZ1-41|0.188|0.630|1.300|0.100|0.640|0.950|0.017|Stainless|None|
||M-17|0.188|0.660|0.530|0.070|1.700|0.940|0.015|Music Wire|None|
||O-111|0.188|0.690|0.560|0.070|1.600|0.940|0.015|Music Wire|Black Oxide|
