||81111S|1.250|4.500|7.500|3.000|3.700|31.000|0.115|Stainless|None|
||81112S|1.250|5.000|6.100|3.000|4.500|31.000|0.115|Stainless|None|
||81113S|1.250|5.500|5.200|3.000|5.300|31.000|0.115|Stainless|None|
||81114S|1.250|6.000|4.500|3.000|6.100|31.000|0.115|Stainless|None|
||81115S|1.250|6.500|4.000|3.000|6.900|31.000|0.115|Stainless|None|
||81116S|1.250|7.000|3.600|3.000|7.700|31.000|0.115|Stainless|None|
||81117S|1.250|7.500|3.200|3.000|8.600|31.000|0.115|Stainless|None|
||S-641|1.421|6.750|2.900|5.000|9.700|33.000|0.120|Stainless|None|
||S-644|0.375|1.500|115.000|11.000|0.200|34.000|0.072|Stainless|None|
||5454|0.437|1.220|136.000|10.000|0.180|35.000|0.076|Spring Steel|None|
||5234|0.500|1.000|138.000|9.000|0.190|35.000|0.080|Spring Steel|Zinc|
||5367|0.500|1.250|99.000|9.000|0.260|35.000|0.080|Spring Steel|Zinc|
||732|0.500|1.380|84.000|9.000|0.310|35.000|0.080|Hard Drawn|Zinc|
||681|0.500|1.630|66.000|9.000|0.390|35.000|0.080|Hard Drawn|Zinc|
||682|0.500|1.940|48.000|9.000|0.530|35.000|0.080|Hard Drawn|Zinc|
||683|0.500|2.190|42.000|9.000|0.610|35.000|0.080|Hard Drawn|Zinc|
||223|0.500|2.500|33.000|9.000|0.770|35.000|0.080|Hard Drawn|Zinc|
||220|0.500|4.000|19.000|9.000|1.400|35.000|0.080|Hard Drawn|Zinc|
||5364|0.500|5.250|15.000|9.000|1.700|35.000|0.080|Spring Steel|Zinc|
||198|0.500|6.000|12.000|9.000|2.200|35.000|0.080|Hard Drawn|Zinc|
||5472|0.593|4.060|24.300|9.000|1.100|35.700|0.090|Spring Steel|Zinc|
||S-597|0.625|4.000|16.000|9.000|1.700|36.000|0.091|Stainless|None|
||S-599|0.625|5.000|12.000|9.000|2.200|36.000|0.091|Stainless|None|
||5493|0.625|6.380|8.600|8.000|3.200|35.000|0.087|Spring Steel|Zinc|
||5460|0.625|7.310|13.000|10.000|2.000|36.000|0.092|Spring Steel|None|
||93|0.687|4.750|11.000|8.000|2.500|35.000|0.091|Hard Drawn|Zinc|
||5708|0.703|4.090|14.000|8.000|2.000|35.000|0.092|Spring Steel|Zinc|
||80867|0.750|2.000|33.000|3.000|0.940|34.000|0.085|Music Wire|None|
||80868|0.750|2.250|24.000|3.000|1.300|34.000|0.085|Music Wire|None|
||80869|0.750|2.500|19.000|3.000|1.600|34.000|0.085|Music Wire|None|
||80870|0.750|2.750|15.000|3.000|2.000|34.000|0.085|Music Wire|None|
||80871|0.750|3.000|13.000|3.000|2.300|34.000|0.085|Music Wire|None|
||80872|0.750|3.500|10.000|3.000|3.100|34.000|0.085|Music Wire|None|
||80873|0.750|4.000|8.200|3.000|3.700|34.000|0.085|Music Wire|None|
||12356|0.750|4.380|12.000|8.000|2.500|37.000|0.096|Spring Steel|Zinc|
