265393,"A-max 12 Ø12 mm, Precious Metal Brushes CLL, 0.5 Watt, CE approved, with Cable","12 mm","0.5 W","15 V","13500 rpm","0.78 mNm","USD 64.75","Details"
118401,"RE 13 Ø13 mm, Precious Metal Brushes, 1.2 Watt, CE approved","13 mm","1.2 W","1 V","11600 rpm","0.499 mNm","USD 78.38","Details"
118402,"RE 13 Ø13 mm, Precious Metal Brushes, 1.2 Watt, CE approved","13 mm","1.2 W","1.2 V","11300 rpm","0.63 mNm","USD 78.38","Details"
118403,"RE 13 Ø13 mm, Precious Metal Brushes, 1.2 Watt, CE approved","13 mm","1.2 W","1.5 V","11100 rpm","0.825 mNm","USD 78.38","Details"
118404,"RE 13 Ø13 mm, Precious Metal Brushes, 1.2 Watt, CE approved","13 mm","1.2 W","1.8 V","11000 rpm","1.02 mNm","USD 78.38","Details"
118405,"RE 13 Ø13 mm, Precious Metal Brushes, 1.2 Watt, CE approved","13 mm","1.2 W","2.4 V","11300 rpm","1.24 mNm","USD 78.38","Details"
118406,"RE 13 Ø13 mm, Precious Metal Brushes, 1.2 Watt, CE approved","13 mm","1.2 W","3 V","11600 rpm","1.27 mNm","USD 78.38","Details"
283872,"EC-max 40 Ø40 mm, brushless, 120 Watt","40 mm","120 W","48 V","4720 rpm","202 mNm","USD 512.75","Details"
283873,"EC-max 40 Ø40 mm, brushless, 120 Watt","40 mm","120 W","48 V","3610 rpm","211 mNm","USD 512.75","Details"
313320,"EC-i 40 Ø40 mm, brushless, 50 Watt, with Hall sensors","40 mm","50 W","24 V","13100 rpm","48.2 mNm","USD 371.25","Details"
339241,"EC-i 40 Ø40 mm, brushless, 50 Watt, with Hall sensors","40 mm","50 W","12 V","12300 rpm","39.9 mNm","USD 371.25","Details"
339243,"EC-i 40 Ø40 mm, brushless, 70 Watt, with Hall sensors","40 mm","70 W","18 V","10000 rpm","60.9 mNm","USD 399.88","Details"
339244,"EC-i 40 Ø40 mm, brushless, 70 Watt, with Hall sensors","40 mm","70 W","36 V","10700 rpm","72.3 mNm","USD 399.88","Details"
349801,"EC 32 flat Ø32 mm, brushless, 15 Watt, with integrated electronics","40 mm","15 W","24 V","6000 rpm","19.2 mNm","USD 225.13","Details"
353324,"EC 32 flat Ø32 mm, brushless, 15 Watt, with integrated electronics","40 mm","15 W","24 V","3000 rpm","18.8 mNm","USD 217.50","Details"
353325,"EC 32 flat Ø32 mm, brushless, 15 Watt, with integrated electronics","40 mm","15 W","24 V","6000 rpm","19.2 mNm","USD 217.50","Details"
353399,"EC 32 flat Ø32 mm, brushless, 15 Watt, with integrated electronics","40 mm","15 W","24 V","6000 rpm","19.2 mNm","USD 229.63","Details"
268350,"RE-max 13 Ø13 mm, Precious Metal Brushes, 0.75 Watt, with cables","13 mm","0.75 W","10 V","7050 rpm","1.26 mNm","USD 77.25","Details"
110051,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","1.2 V","8560 rpm","0.694 mNm","USD 54.38","Details"
110052,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","2.4 V","9730 rpm","1.29 mNm","USD 54.38","Details"
110053,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","6 V","10000 rpm","2.18 mNm","USD 54.38","Details"
110054,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","7.2 V","9740 rpm","2.17 mNm","USD 54.38","Details"
110055,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","9 V","9120 rpm","2.16 mNm","USD 54.38","Details"
